 0.00000000e+00 -8.27604651e-12  0.00000000e+00 -4.36397585e-11  0.00000000e+00 -3.37112005e-11 
 5.00000000e-10 -8.27604651e-12  5.00000000e-10 -4.36397585e-11  5.00000000e-10 -3.37112560e-11 
 1.00000000e-09 -8.27604651e-12  1.00000000e-09 -4.36397585e-11  1.00000000e-09 -3.37112005e-11 
 2.00000000e-09 -8.27604651e-12  2.00000000e-09 -4.36397585e-11  2.00000000e-09 -3.37112005e-11 
 4.00000000e-09 -8.27604651e-12  4.00000000e-09 -4.36397585e-11  4.00000000e-09 -3.37112560e-11 
 8.00000000e-09 -8.27604651e-12  8.00000000e-09 -4.36397585e-11  8.00000000e-09 -3.37112560e-11 
 1.60000000e-08 -8.27604651e-12  1.60000000e-08 -4.36397585e-11  1.60000000e-08 -3.37112560e-11 
 3.20000000e-08 -8.27604651e-12  3.20000000e-08 -4.36397585e-11  3.20000000e-08 -3.37112005e-11 
 6.40000000e-08 -8.27604651e-12  6.40000000e-08 -4.36397585e-11  6.40000000e-08 -3.37112005e-11 
 1.14000000e-07 -8.27604651e-12  1.14000000e-07 -4.36397585e-11  1.14000000e-07 -3.37112005e-11 
 1.64000000e-07 -8.27604651e-12  1.64000000e-07 -4.36397585e-11  1.64000000e-07 -3.37112005e-11 
 2.14000000e-07 -8.27604651e-12  2.14000000e-07 -4.36397585e-11  2.14000000e-07 -3.37112005e-11 
 2.64000000e-07 -8.27604651e-12  2.64000000e-07 -4.36397585e-11  2.64000000e-07 -3.37112005e-11 
 3.14000000e-07 -8.27604651e-12  3.14000000e-07 -4.36397585e-11  3.14000000e-07 -3.37112005e-11 
 3.64000000e-07 -8.27604651e-12  3.64000000e-07 -4.36397585e-11  3.64000000e-07 -3.37112005e-11 
 4.14000000e-07 -8.27604651e-12  4.14000000e-07 -4.36397585e-11  4.14000000e-07 -3.37112005e-11 
 4.64000000e-07 -8.27604651e-12  4.64000000e-07 -4.36397585e-11  4.64000000e-07 -3.37112005e-11 
 5.14000000e-07 -8.27604651e-12  5.14000000e-07 -4.36397585e-11  5.14000000e-07 -3.37112005e-11 
 5.64000000e-07 -8.27604651e-12  5.64000000e-07 -4.36397585e-11  5.64000000e-07 -3.37112005e-11 
 6.14000000e-07 -8.27604651e-12  6.14000000e-07 -4.36397585e-11  6.14000000e-07 -3.37112005e-11 
 6.64000000e-07 -8.27604651e-12  6.64000000e-07 -4.36397585e-11  6.64000000e-07 -3.37112005e-11 
 7.14000000e-07 -8.27604651e-12  7.14000000e-07 -4.36397585e-11  7.14000000e-07 -3.37112005e-11 
 7.64000000e-07 -8.27604651e-12  7.64000000e-07 -4.36397585e-11  7.64000000e-07 -3.37112005e-11 
 8.14000000e-07 -8.27604651e-12  8.14000000e-07 -4.36397585e-11  8.14000000e-07 -3.37112005e-11 
 8.64000000e-07 -8.27604651e-12  8.64000000e-07 -4.36397585e-11  8.64000000e-07 -3.37112005e-11 
 9.14000000e-07 -8.27604651e-12  9.14000000e-07 -4.36397585e-11  9.14000000e-07 -3.37112005e-11 
 9.64000000e-07 -8.27604651e-12  9.64000000e-07 -4.36397585e-11  9.64000000e-07 -3.37112005e-11 
 1.01400000e-06 -8.27604651e-12  1.01400000e-06 -4.36397585e-11  1.01400000e-06 -3.37112005e-11 
 1.06400000e-06 -8.27604651e-12  1.06400000e-06 -4.36397585e-11  1.06400000e-06 -3.37112005e-11 
 1.11400000e-06 -8.27604651e-12  1.11400000e-06 -4.36397585e-11  1.11400000e-06 -3.37112005e-11 
 1.16400000e-06 -8.27604651e-12  1.16400000e-06 -4.36397585e-11  1.16400000e-06 -3.37112005e-11 
 1.21400000e-06 -8.27604651e-12  1.21400000e-06 -4.36397585e-11  1.21400000e-06 -3.37112005e-11 
 1.26400000e-06 -8.27604651e-12  1.26400000e-06 -4.36397585e-11  1.26400000e-06 -3.37112005e-11 
 1.31400000e-06 -8.27604651e-12  1.31400000e-06 -4.36397585e-11  1.31400000e-06 -3.37112005e-11 
 1.36400000e-06 -8.27604651e-12  1.36400000e-06 -4.36397585e-11  1.36400000e-06 -3.37112005e-11 
 1.41400000e-06 -8.27604651e-12  1.41400000e-06 -4.36397585e-11  1.41400000e-06 -3.37112005e-11 
 1.46400000e-06 -8.27604651e-12  1.46400000e-06 -4.36397585e-11  1.46400000e-06 -3.37112005e-11 
 1.51400000e-06 -8.27604651e-12  1.51400000e-06 -4.36397585e-11  1.51400000e-06 -3.37112005e-11 
