vgs,vds,id
2.0,0.0,0.0
2.0,0.5,0.00157
2.0,1.0,0.00308
2.0,1.5,0.00448
2.0,2.0,0.00574
2.0,2.5,0.00682
2.0,3.0,0.00774
2.0,3.5,0.00842
2.0,4.0,0.00904
2.0,4.5,0.00948
2.0,5.0,0.00987
2.0,5.5,0.01018
2.0,6.0,0.01036
2.0,6.5,0.01054
2.0,7.0,0.0107
2.0,7.5,0.01079
2.0,8.0,0.01084
2.0,8.5,0.01092
2.0,9.0,0.01098
2.0,9.5,0.01094
2.0,10.0,0.01104
2.0,10.5,0.01105
2.0,11.0,0.01103
2.0,11.5,0.01102
2.0,12.0,0.0111
2.0,12.5,0.01105
2.0,13.0,0.01103
2.0,13.5,0.01103
2.0,14.0,0.0111
2.0,14.5,0.01108
2.0,15.0,0.0111
2.0,15.5,0.01109
2.0,16.0,0.01107
2.0,16.5,0.01111
2.0,17.0,0.01106
2.0,17.5,0.01107
2.0,18.0,0.01109
2.0,18.5,0.01107
2.0,19.0,0.01109
2.0,19.5,0.01107
2.0,20.0,0.01108
3.0,0.0,0.0
3.0,0.5,0.01613
3.0,1.0,0.03161
3.0,1.5,0.0458
3.0,2.0,0.05853
3.0,2.5,0.06938
3.0,3.0,0.07861
3.0,3.5,0.08633
3.0,4.0,0.09213
3.0,4.5,0.09684
3.0,5.0,0.10037
3.0,5.5,0.10322
3.0,6.0,0.10592
3.0,6.5,0.10728
3.0,7.0,0.10844
3.0,7.5,0.10893
3.0,8.0,0.11005
3.0,8.5,0.11
3.0,9.0,0.1105
3.0,9.5,0.11124
3.0,10.0,0.11105
3.0,10.5,0.11104
3.0,11.0,0.11117
3.0,11.5,0.11129
3.0,12.0,0.11119
3.0,12.5,0.11064
3.0,13.0,0.11039
3.0,13.5,0.11056
3.0,14.0,0.11042
3.0,14.5,0.11027
3.0,15.0,0.11081
3.0,15.5,0.11064
3.0,16.0,0.11003
3.0,16.5,0.11021
3.0,17.0,0.10987
3.0,17.5,0.11021
3.0,18.0,0.10969
3.0,18.5,0.1094
3.0,19.0,0.10927
3.0,19.5,0.10942
3.0,20.0,0.10904
4.0,0.0,0.0
4.0,0.5,0.03562
4.0,1.0,0.0694
4.0,1.5,0.10044
4.0,2.0,0.12884
4.0,2.5,0.15208
4.0,3.0,0.17129
4.0,3.5,0.18725
4.0,4.0,0.2001
4.0,4.5,0.21093
4.0,5.0,0.21891
4.0,5.5,0.22406
4.0,6.0,0.22773
4.0,6.5,0.23147
4.0,7.0,0.23488
4.0,7.5,0.23558
4.0,8.0,0.23746
4.0,8.5,0.2379
4.0,9.0,0.23663
4.0,9.5,0.23809
4.0,10.0,0.23796
4.0,10.5,0.23749
4.0,11.0,0.23669
4.0,11.5,0.23704
4.0,12.0,0.23562
4.0,12.5,0.23578
4.0,13.0,0.23532
4.0,13.5,0.23575
4.0,14.0,0.23507
4.0,14.5,0.23338
4.0,15.0,0.23327
4.0,15.5,0.23211
4.0,16.0,0.23291
4.0,16.5,0.23226
4.0,17.0,0.23063
4.0,17.5,0.23068
4.0,18.0,0.23005
4.0,18.5,0.22863
4.0,19.0,0.22917
4.0,19.5,0.22818
4.0,20.0,0.22804
5.0,0.0,0.0
5.0,0.5,0.05748
5.0,1.0,0.11255
5.0,1.5,0.16249
5.0,2.0,0.20835
5.0,2.5,0.24642
5.0,3.0,0.27795
5.0,3.5,0.30224
5.0,4.0,0.32168
5.0,4.5,0.33939
5.0,5.0,0.35141
5.0,5.5,0.35772
5.0,6.0,0.36521
5.0,6.5,0.36845
5.0,7.0,0.37352
5.0,7.5,0.37545
5.0,8.0,0.3746
5.0,8.5,0.37606
5.0,9.0,0.37621
5.0,9.5,0.37492
5.0,10.0,0.37603
5.0,10.5,0.37376
5.0,11.0,0.37206
5.0,11.5,0.37184
5.0,12.0,0.37112
5.0,12.5,0.36821
5.0,13.0,0.36714
5.0,13.5,0.36772
5.0,14.0,0.36524
5.0,14.5,0.36314
5.0,15.0,0.36188
5.0,15.5,0.35922
5.0,16.0,0.35801
5.0,16.5,0.35681
5.0,17.0,0.356
5.0,17.5,0.35345
5.0,18.0,0.35189
5.0,18.5,0.34994
5.0,19.0,0.34997
5.0,19.5,0.34731
5.0,20.0,0.34764
6.0,0.0,0.0
6.0,0.5,0.08177
6.0,1.0,0.15966
6.0,1.5,0.23147
6.0,2.0,0.2931
6.0,2.5,0.34598
6.0,3.0,0.39225
6.0,3.5,0.42634
6.0,4.0,0.45353
6.0,4.5,0.47574
6.0,5.0,0.49154
6.0,5.5,0.50046
6.0,6.0,0.50802
6.0,6.5,0.51469
6.0,7.0,0.51792
6.0,7.5,0.51979
6.0,8.0,0.52139
6.0,8.5,0.52076
6.0,9.0,0.52097
6.0,9.5,0.5157
6.0,10.0,0.51498
6.0,10.5,0.51245
6.0,11.0,0.51211
6.0,11.5,0.50696
6.0,12.0,0.50396
6.0,12.5,0.50214
6.0,13.0,0.49911
6.0,13.5,0.49556
6.0,14.0,0.49244
6.0,14.5,0.49204
6.0,15.0,0.48709
6.0,15.5,0.48563
6.0,16.0,0.48133
6.0,16.5,0.47631
6.0,17.0,0.47682
6.0,17.5,0.47307
6.0,18.0,0.47044
6.0,18.5,0.46715
6.0,19.0,0.46373
6.0,19.5,0.45809
6.0,20.0,0.45614
